,2018,2030
Flywheel,1.5,1
Compressed Air,18,1
Hydrogen FC,1,1
NiMH,0.5,0.4
Deep-cycle Lead-Acid,1,1
LMO,0.5,0.4
NMC,0.5,0.4
NCA,0.5,0.4
LFP,1,1
LTO,1,1
Zinc-Bromide,3,1
Vanadium Redox,3,1
Sodium-Sulfur,1.5,1
ZEBRA,1.5,1
Lithium Sulfur,1,1
Lithium Ceramic ,1,1
Lithium-air,1,1
