type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
aboveground,2030,80305.23377,457798.7143,69545.67883,28485.13485,134662.2347,160448.1245,170097.0681,94550.32132,74638.50456,66093.28382,317563.6326,105798.8517,66775.11947,78124.40723,79554.87212,217404.9456,180467.5978,632249.3254,11600.22715,671868.0354,100277.2282,73407.81858,22556.46407,42795.04217,80710.99953,76709.30448
aboveground,2031,80321.21022,457507.9642,72387.38053,30487.39272,138393.0822,167123.6363,176706.3557,101857.9154,80158.92443,68946.06773,316407.7317,105570.4168,67804.32988,78664.23285,81107.58508,218380.5207,185458.3505,665529.8083,11616.00626,676871.579,105834.9986,77116.88967,22489.33276,43229.09777,85382.54564,81048.69008
aboveground,2032,80398.23079,457232.0669,75288.35871,32503.76779,141780.0977,173813.689,183094.7886,109538.6144,86014.85502,71574.06392,315434.3745,105172.6271,68685.07645,79333.11238,82488.90994,219137.4101,191360.8152,699506.5584,11611.48918,680168.5129,111333.3759,80640.31425,22414.88166,43609.13368,90427.95034,85436.35961
aboveground,2033,80608.30984,456980.386,78462.24918,34702.61802,144814.6033,181196.2518,190209.7948,118004.7437,92255.06416,74280.86177,314822.1109,104748.3647,69592.11326,80004.64487,84125.85787,219444.7539,197200.9137,736351.6463,11584.97493,685780.3859,116581.2089,84518.11342,22424.83717,44014.74898,96476.49125,90078.71882
aboveground,2034,80833.03239,456803.8324,81967.60205,37091.27726,147679.8453,189477.6884,198248.9728,127209.4141,99068.05077,76949.66983,313939.4813,104189.3875,70591.31165,80671.8532,85790.52602,219425.2402,202858.4669,775083.8169,11547.96232,692641.6175,121646.7168,88821.43173,22416.46509,44441.22163,103454.3783,94982.6843
aboveground,2035,81077.45547,456386.9355,85841.00398,39659.42302,150372.9547,198638.3404,207009.8708,137167.0073,106190.9584,79584.29685,313141.9819,103718.634,71709.14596,81301.26717,87500.03984,218950.9905,208474.1369,815692.5062,11521.13394,700570.5301,126464.7663,93461.03106,22371.51811,44917.89434,111244.1977,100104.3726
aboveground,2036,81377.10948,455488.136,89907.94498,42191.68475,152450.6319,208375.6445,216299.7008,147820.8054,114111.422,82147.34096,312377.6855,103447.5251,72871.74634,81801.11794,89155.14798,218600.3622,214033.7711,859043.3374,11507.35789,709506.9096,130984.9575,98428.21798,22362.97044,45489.51112,119743.2763,105595.2605
aboveground,2037,81651.35479,453734.8443,94051.42408,44713.38723,154152.803,218178.3101,225924.8863,159137.9913,122345.6105,84570.72312,312406.5033,103383.731,73947.97988,82044.64222,90377.07553,218011.2113,219426.6071,904215.2703,11487.54239,717915.166,135154.125,103648.9816,22371.0236,46073.78547,128875.6118,111325.6996
aboveground,2038,81805.54545,451622.0171,97912.31148,47045.64157,155731.9816,227253.797,235023.0091,170756.289,130893.8373,86845.01024,313169.8576,102504.9083,74812.41857,82223.07439,91208.6559,217459.4783,224023.9216,948973.986,11459.52886,722648.1019,139259.8842,108743.1659,22314.22869,46624.49644,138076.1188,117325.4519
aboveground,2039,81842.55956,448862.3263,101386.5072,49198.27625,157311.5612,235691.0015,243501.9505,182796.9684,139505.3062,88961.29425,312295.8492,102051.3937,75442.88774,82464.52993,91845.92571,216581.3393,227976.25,995345.7186,11430.92545,724038.9843,143382.6925,113668.5009,22249.9825,47118.50078,147431.3492,123712.4784
