flow,sector,category,technologies,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
stock,electricity,generation,<EMPTY>,Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,generation,Biomass + CCS,Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,generation,Biomass CC,Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002908471125,0.00116593785,0.002775514875,0.0051399915,0.008609383125,0.012938475375,0.018062947875,0.024254430375,0.03145240875,0.042803019,0.0576475465125,0.07611604300125,0.098033202225,0.1231056568875,0.14761820456250002,0.17236984986375,0.19675739118000002,0.22046981523,0.243548088,0.2652610802625,0.2831188822875,0.2993655338625,0.3185382540375,0.3382570842525,0.3579918166125,0.3786497602125
stock,electricity,generation,CHP Biomass,Aluminium,0.7064072593,0.7084196939,0.71065789915,0.71877920915,0.7593341541499999,0.8295718411499999,0.91202996765,0.99473134265,1.0715517676555912,1.1291838026721415,1.1734173124114253,1.2077712689210576,1.2445214873094392,1.2812275239462978,1.304614061784491,1.3115841071519152,1.315093549682314,1.314263905490607,1.3131863731699753,1.3118480564776003,1.310219869235079,1.3082183578612185,1.3057403263900524,1.302647429447911,1.2988692193645934,1.2940201957943507,1.2857886670494212,1.2727748604267135,1.2548430960996346,1.2303914611497067,1.198289060050995,1.1599791099260113,1.1173488866782306,1.071382515478784,1.0243702082928663,0.9784236005031192,0.9346509596822141,0.8945727234739964,0.8567822386581251,0.8184703166251569,0.7801905125524986,0.7433783141284493,0.7073791012074229,0.6732947571900891,0.6429703596262928,0.6143137413107819,0.5857246678880985,0.5559379174030952,0.523185232303703,0.4866671002342168,0.449626903751038
stock,electricity,generation,CHP Biomass + CCS,Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,generation,CHP Coal,Aluminium,52.48906888845837,53.6227141118636,55.22949029817062,56.39701323405439,57.959188829466996,60.215553804440745,62.167958456216674,63.62960304822079,64.91139235462803,65.8031014718767,66.23006145797935,68.41151533873094,70.85652532958606,73.47797265036807,76.14098254462473,78.74271460457052,79.55381872220835,80.20733402394792,81.02698814206897,81.93496114590175,82.97674433070488,83.94431470449227,84.65480346401715,85.09517116422573,85.67711956241588,86.5760246579942,87.75253493056243,89.29348261291152,91.17386521674874,93.03184247366809,94.71423510534824,96.3318139593836,97.84939789174716,99.14200997430899,100.18745658924252,100.90462185060781,101.15908590091404,100.89443785385602,100.21223537040508,99.1360927578293,97.79912030672452,96.43070822300166,95.18766441658892,94.35086766606477,94.4761660365725,95.65130587003105,97.61876770460192,100.25863289784215,103.22614182080518,105.93959703557067,108.38783816900533
stock,electricity,generation,CHP Coal + CCS,Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,generation,CHP Natural Gas,Aluminium,46.416114886911195,48.57001869438683,50.78297241351571,52.864724200062476,55.54110300161404,59.433211343463626,62.36237023889403,66.6796580167458,71.01081355417591,74.3418669868718,76.55650158192658,78.78477841191447,79.23453767729917,79.86530465014087,80.57705860785232,81.4319727666281,82.08994881530656,82.69976271631009,83.25625889052102,83.88671906095188,84.7362545269688,86.08493245139452,87.6420831978028,89.1264127307901,90.21786568927575,90.6459891373645,90.36138407362708,89.3252177385681,87.65653690644577,85.62810592074237,83.41807203251415,81.046731943585,78.66760030420336,76.36596162400501,74.14722751795641,71.98068628131895,69.78597223418244,67.56670551171281,65.42794754814639,63.32389191122619,61.173796054889934,59.07389535337152,56.87157272372627,54.42846817532284,51.77124507555923,48.99752664895541,46.090512228966084,43.29145510705956,40.6368056683729,38.11780128700732,35.760456863611964
stock,electricity,generation,CHP Natural Gas + CCS,Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,generation,CHP Oil,Aluminium,23.280418602000005,23.245177782000003,23.317840242,23.545171482,24.386470962,26.095067322000006,27.768798450000006,29.221232274000002,30.493599047057614,31.071907594055034,30.79123944602074,30.473064025986456,30.093174385404993,29.581606291765716,28.921555388304842,28.119175500363053,27.229351132426448,26.263003697109404,25.277590631819475,24.282358152460468,23.275024051084102,22.234857333278782,21.2212846561574,20.28141417412389,19.448220357438665,18.731931188317095,18.12336341367828,17.565277466359007,17.02712325401987,16.486239148354493,15.931165583882521,15.363844959186356,14.786561134337287,14.2013649422374,13.614101672722818,13.052168922804633,12.531642992205562,12.067244931527767,11.620763510214823,11.128155845021741,10.513082879090513,9.777998700666473,8.943042332249885,8.022052944734149,7.0653200554584625,6.145029563299058,5.245884360284884,4.3573621738747,3.5248223319125485,2.783585112080912,2.1591390328636484
