flow,sector,category,elements,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
inflow,electricity,grid,lines,Aluminium,1408.1632817824461,1446.5969247007388,1590.5335737800324,1747.6774799296204,1920.9636966977037,2076.9948020708825,2284.2816640314295,2554.4550141702025,2664.797087697785,2869.401654011647,3123.604977213797,3436.1928427240473,3595.7577807442963,3563.828422545777,3384.3423980757425,2980.5296368725913,2357.493542361425,1799.7001341011744,1625.2741248125628,1631.4456841507495,1742.9208206573326,1914.0632948183668,2059.25948672221,2102.63956117854,2033.494924587026,2006.7956410095544,1993.5757651626802,1988.261397715473,2020.3939920385844,2090.490518666161,2217.0803327623385,2445.206937995294,2748.262697696327,3140.7987032201268,3583.6725597257678,4009.5747683251557,4349.94653721903,4613.6911482674295,4790.778711528538,4879.709431320637,4999.664669665007,5157.538559117181,5333.294736476267,5527.083793396153,5742.082432244901,5892.046668483869,6012.554327705416,6110.469661484977,6130.420686420239,6058.310650170072,5916.29615411027
inflow,electricity,grid,substations,Aluminium,1286.4134330197792,1332.0370789024705,1474.5259205505743,1610.400122347982,1774.0036509567853,1914.594129781071,2077.8107798510114,2243.6425489873186,2341.4531227371267,2521.585455792908,2753.8142146461114,3048.3986786037785,3255.7471470074915,3223.1818118782926,3069.9660547849744,2713.34483766461,2159.5376528998395,1664.025712813219,1544.7965265026062,1589.7147996183157,1715.9327217452358,1901.3411267919678,2059.5252201597245,2085.26959354805,1999.1642019928358,1957.5041102776884,1925.44492864922,1895.5976208386833,1896.2028165716724,1955.0532751083074,2081.7202091389127,2323.2102873782364,2641.238587531876,3056.743534920086,3497.272581283997,3915.214339752889,4245.8891613908545,4508.158483767634,4691.367411682028,4795.50160101198,4932.691968597429,5111.35684727858,5311.915534361815,5532.93133831975,5773.407648812677,5954.182591193899,6106.518890611412,6235.607505663732,6283.471008875168,6236.12586973836,6103.045696552394
inflow,electricity,grid,transformers,Aluminium,102.25296191199844,105.7982992176751,115.95383575271171,125.66716198634572,137.2527551426443,147.30280409192193,158.9207168685842,170.75317992416092,177.9873312754619,190.8853565031764,207.44735247926485,228.3045840692482,243.3218357018472,242.16050259029737,232.8701872450138,209.76224134179574,173.3323222021161,140.9225890205416,134.12976188283264,138.5433976413138,148.52294858609065,162.52669696909274,174.6728671261273,177.8179815394641,173.38248647909148,172.0140583589257,171.33507586721805,171.00314676408698,172.68290850818894,178.411000372025,189.19840333952735,208.06868747799604,232.21760760182238,263.2900406189167,296.1641234239736,327.19373185237663,352.0123070993016,371.78989687845586,385.6547325333526,393.44167535152894,402.6332305554273,413.79387805765197,425.5863702593233,437.97146021677196,451.0098299794541,459.4819240226801,465.74339444858526,470.40601977835985,469.7960331056571,463.2203649129092,451.5672802411324
inflow,electricity,grid,lines,Asphalt,195.46842684362048,193.46221918069628,205.08868670205416,201.4875545371646,231.77316827520926,245.49678888241584,219.6950648770282,160.64056580091463,167.84813692069437,168.38272405999402,185.53009848762596,230.91991976850588,295.9893404539555,282.6073219390504,291.5192482101308,286.341227042791,303.2122295867465,322.9332994878452,392.67534530078336,466.6917955028041,542.5048106840337,598.2155747969551,642.3269405293975,653.9195096158812,624.0297935549768,596.3130006035128,576.8752153633977,572.2837940084628,563.7747664674777,571.2704844770134,597.5506292318673,639.383529584148,683.0150167018135,753.808769528236,835.0148552800921,903.9260736544624,960.1977100592452,1008.8539314619989,1047.570716273208,1084.9203061884107,1139.7867420282932,1211.401048921125,1295.6728484272787,1391.178175328827,1488.7006455456035,1583.803004911814,1674.4754101812632,1759.4948995135258,1821.7316635486995,1851.870321973962,1838.3139712999348
inflow,electricity,grid,substations,Asphalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,transformers,Asphalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,substations,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,transformers,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Concrete,10173.36066064539,10605.240091199075,11820.918809354622,13063.643222138122,14341.958099345946,15497.548588688886,17039.427029834264,19054.936627349096,19860.144369341127,21433.81295575892,23400.58828342097,25799.332853832257,27062.893239486522,26917.72342292444,25586.941088920055,22506.99228429616,17549.92240107815,13081.805366602992,11656.163320832908,11673.059782970535,12409.033590131972,13772.565649821325,14954.827541411698,15130.664158965183,14527.650931478147,14313.001055311768,14155.378604540076,13966.694499938589,14134.710426344263,14666.895146150957,15639.252060057283,17522.420042739504,20043.663280059118,23200.480938547425,26577.299603248575,29929.28018929018,32589.884717577195,34686.074416125535,36148.73411558758,36920.903859817816,37828.51253727824,39003.45249587415,40296.9029505946,41702.65536318338,43269.823164711896,44329.008973384145,45175.311671295196,45866.873903948996,45984.444642650546,45448.32515573374,44394.02072969012
